Subject ID,Experimental Batch,List Number,Question Preview,Data Collection Site,Comprehension Score - Regular Trials,Comprehension Score - Repeated Reading,Recalibration Count,Mean Validation Error,Total Session Duration,Session Duration,Dominant Eye,Tracked Eye,LexTALE Score*
390,3,32,False,MIT,74,82,13,,72.01506666666667,58.79741666666666,L,L,
502,1,32,False,MIT,74,67,1,,52.698616666666666,45.65416666666667,L,R,100.0
63,1,32,True,MIT,89,89,3,,52.56383333333338,45.89675,R,R,
115,1,33,False,MIT,96,92,4,,40.33471666666667,34.40351666666666,L,L,
258,2,33,True,MIT,87,90,1,,60.06243333333333,43.48526666666667,L,L,
276,2,33,False,MIT,78,60,16,,74.56519999999999,46.96285,R,R,
284,1,33,True,MIT,94,100,6,,74.32571666666668,61.54371666666667,R,R,
391,3,33,True,MIT,72,80,13,,53.1597,43.85008333333334,R,R,
515,3,33,False,MIT,74,100,14,,55.13508333333332,42.950966666666666,R,R,90.0
116,1,34,False,MIT,83,89,17,,74.75723333333333,64.30763333333333,R/L,L,
277,2,34,False,MIT,70,88,5,,56.536866666666654,45.41943333333334,L,L,
398,3,34,False,Technion,72,92,3,,76.43226666666666,49.6488,L,R,95.0
447,3,34,True,Technion,93,100,3,,77.17848333333335,65.70015,R,R,95.0
473,2,34,True,Technion,87,100,5,,44.0978,39.056450000000005,R,R,100.0
512,1,34,True,MIT,94,100,2,,47.097350000000006,40.8692,R,R,95.0
118,1,35,False,MIT,96,83,6,,60.84899999999999,50.037666666666674,R,R,
264,2,35,True,MIT,93,91,16,,72.69113333333334,45.40058333333333,R,R,
278,2,35,False,MIT,78,73,2,,36.00801666666666,30.938433333333332,R,R,
399,3,35,False,Technion,89,78,12,,58.705,39.86828333333334,R,R,98.75
450,3,35,True,Technion,83,89,0,,51.81859999999999,48.593833333333336,R,R,93.75
85,1,35,True,MIT,69,92,6,,55.938566666666645,47.51518333333333,R/L,R,
119,1,36,False,MIT,89,82,0,,56.40578333333332,53.06113333333334,L,L,
280,2,36,False,MIT,74,100,7,,45.84428333333333,32.462849999999996,L,L,
394,3,36,True,Technion,94,88,1,,65.56996666666667,47.59308333333333,R,R,97.5
400,3,36,False,Technion,80,88,15,,70.31354999999999,45.58663333333333,R,R,96.25
486,1,36,True,MIT,91,82,8,,59.48123333333333,27.575716666666665,L,R,100.0
524,2,36,True,MIT,87,91,1,,47.58751666666666,43.158699999999996,R,R,100.0
120,1,37,False,MIT,85,92,10,,54.1732833333333,40.56438333333333,L,R,
273,2,37,True,MIT,91,100,1,,34.7532,29.76795,R,R,
395,3,37,True,Technion,93,91,0,,40.80588333333333,34.62153333333333,R,R,97.5
401,3,37,False,Technion,87,82,3,,47.675033333333374,42.38373333333333,L,R,100.0
534,2,37,False,MIT,80,90,7,,45.295449999999995,37.185383333333334,R,L,97.5
87,1,37,True,MIT,83,92,7,,48.70596666666671,42.78626666666666,L,L,
121,1,38,False,MIT,83,93,1,,48.441516666666644,44.86353333333333,R,R,
282,2,38,False,MIT,80,100,2,,50.26784999999998,44.274483333333336,R,R,
285,2,38,True,MIT,93,100,10,,56.44405,41.290816666666665,L,L,
396,3,38,True,Technion,85,73,6,,72.03636666666667,49.63153333333333,R,R,98.75
402,3,38,False,Technion,93,91,5,,60.11411666666669,51.86855,L,R,82.5
97,1,38,True,MIT,80,93,2,,42.63241666666664,38.25821666666666,R,R,
122,1,39,True,MIT,89,100,4,,50.15855,43.64156666666667,R,R,
125,1,39,False,MIT,83,91,11,,79.27948333333336,64.04851666666667,L,L,
289,2,39,True,MIT,85,100,0,,38.3356,32.30055,R,R,
299,2,39,False,MIT,74,85,2,,48.01529999999998,43.60236666666666,L,L,
404,3,39,False,Technion,78,56,6,,101.53481666666659,42.34426666666666,L,L,100.0
542,3,39,True,MIT,89,89,10,,52.9517,41.227549999999994,R,R,97.5
163,2,3,True,MIT,94,82,1,,43.12881666666664,37.7128,R,R,
167,2,3,False,MIT,74,82,3,,38.56314999999995,34.706300000000006,L,L,
265,1,3,False,MIT,81,73,5,,60.182649999999995,46.562466666666666,R,R,
325,3,3,True,MIT,87,89,14,,55.38033333333333,34.838,L,L,
327,3,3,False,MIT,83,78,6,,35.65126666666666,29.756233333333334,L,L,
66,1,3,True,MIT,87,91,11,,53.027849999999944,41.523316666666666,L,L,
123,1,40,True,MIT,85,73,3,,57.081166666666675,49.12961666666667,R,R,
127,1,40,False,MIT,69,73,2,,46.471516666666666,40.38343333333333,R,R,
294,2,40,True,MIT,94,100,10,,36.86591666666667,27.684383333333336,L,L,
300,2,40,False,MIT,72,91,2,,41.906850000000006,32.81095,L,L,
405,3,40,True,Technion,70,88,21,,79.1831,50.93935,R,R,85.0
458,3,40,False,Technion,83,100,1,,44.575733333333325,34.68095,R,R,97.5
129,1,41,False,MIT,94,82,6,,77.54824999999997,64.63838333333334,L,L,
286,1,41,True,MIT,96,100,5,,58.881600000000006,52.81373333333333,L,L,
295,2,41,True,MIT,93,100,1,,54.4114,47.865,R,R,
303,2,41,False,MIT,85,92,7,,66.46876666666667,40.209266666666664,L,L,
408,3,41,False,Technion,80,80,3,,34.73563333333334,30.5693,L,L,100.0
451,3,41,True,Technion,67,100,1,,70.27438333333333,63.23833333333334,R,R,93.75
2070,3,42,True,MIT,93,83,4,,39.7069,33.63133333333334,R,R,100.0
290,1,42,False,MIT,81,67,17,,59.11718333333334,29.30568333333333,R,R,
297,2,42,True,MIT,96,75,5,,40.51905,34.6248,R,R,
308,2,42,False,MIT,89,88,3,,41.290166666666664,32.51045,R,R,
459,3,42,False,Technion,85,92,4,,49.535849999999996,35.0122,L,L,97.5
488,1,42,True,MIT,87,89,24,,83.25854999999999,39.58611666666666,L,LR,93.75
131,1,43,False,MIT,80,82,2,,37.01638333333335,33.01156666666667,R,R,
152,1,43,True,MIT,91,100,1,,50.487066666666664,45.05653333333333,R,R,
302,2,43,True,MIT,81,90,1,,34.845333333333336,20.1365,L,R,
310,2,43,False,MIT,69,80,5,,59.87601666666666,47.44271666666667,L,L,
411,3,43,True,Technion,83,83,1,,64.8462833333333,55.58445,L,L,85.0
413,3,43,False,Technion,87,92,1,,44.94023333333334,38.77118333333333,L,L,97.5
291,1,44,False,MIT,81,83,10,,60.29093333333334,52.069250000000004,R,R,
305,2,44,True,MIT,89,80,2,,54.213366666666666,49.14855,R,R,
312,2,44,False,MIT,81,90,5,,64.38336666666666,39.416183333333336,L,L,
412,3,44,True,Technion,87,92,3,,59.23070000000007,46.94161666666666,R,R,97.5
414,3,44,False,Technion,74,100,3,,68.78154999999998,52.806583333333336,L,L,97.5
540,1,44,True,MIT,83,92,3,,49.62916666666668,41.87166666666667,L,L,95.0
